transaction_id,order_date,product_name,category,region,customer_segment,quantity,unit_price,unit_variable_cost
0,2025-05-10,Watch,Accessories,Asia,Online,3,261.6,81.58
1,2023-11-27,Shoes,Clothing,Asia,Online,3,128.79,61.21
2,2025-02-08,Blender,Home,North America,Retail,4,159.97,84.82
3,2023-01-22,Jacket,Clothing,Asia,Wholesale,1,197.28,95.82
4,2024-11-30,Phone,Electronics,Europe,Wholesale,4,567.93,321.34
5,2025-04-11,Jacket,Clothing,North America,Retail,1,181.86,102.15
6,2024-01-23,Watch,Accessories,North America,Online,1,273.28,84.93
7,2025-06-16,Blender,Home,North America,Wholesale,4,142.23,93.3
8,2023-07-25,Shoes,Clothing,Europe,Online,1,114.21,61.95
9,2024-07-19,Bike,Sports,Europe,Online,2,506.77,271.88
10,2023-06-11,Jacket,Clothing,Asia,Online,2,215.79,101.96
11,2025-10-13,Watch,Accessories,Europe,Wholesale,2,241.27,78.22
12,2025-03-02,Blender,Home,North America,Retail,2,163.96,91.93
13,2023-01-15,Blender,Home,North America,Wholesale,1,137.24,98.76
14,2024-08-15,Shoes,Clothing,North America,Online,4,125.5,63.26
15,2025-10-14,Watch,Accessories,Europe,Retail,1,270.75,85.6
16,2024-02-11,Watch,Accessories,Europe,Wholesale,2,241.26,83.67
17,2025-08-18,Shoes,Clothing,North America,Retail,3,110.87,62.56
18,2024-05-17,Phone,Electronics,Asia,Wholesale,3,570.73,317.83
19,2025-06-10,Phone,Electronics,North America,Retail,1,564.21,377.7
20,2024-04-29,Jacket,Clothing,North America,Retail,3,204.18,100.8
21,2024-07-31,Watch,Accessories,Europe,Online,2,265.41,82.13
22,2023-07-09,Bike,Sports,North America,Retail,1,477.21,308.86
23,2024-12-10,Laptop,Electronics,North America,Wholesale,4,805.45,498.48
24,2024-11-14,Phone,Electronics,North America,Retail,4,653.15,337.62
25,2024-03-17,Bike,Sports,Asia,Retail,4,474.69,311.78
26,2025-08-09,Blender,Home,Europe,Wholesale,1,143.0,98.58
27,2024-01-20,Blender,Home,Europe,Online,3,155.42,90.56
28,2025-04-15,Watch,Accessories,Asia,Online,3,263.08,75.8
29,2025-06-02,Blender,Home,North America,Retail,2,154.01,90.64
30,2023-07-06,Jacket,Clothing,Asia,Wholesale,2,207.83,107.17
31,2023-05-27,Phone,Electronics,North America,Wholesale,4,617.42,327.21
32,2025-05-21,Phone,Electronics,Europe,Wholesale,1,621.08,366.47
33,2023-09-20,Watch,Accessories,North America,Online,4,233.75,87.71
34,2023-09-11,Laptop,Electronics,Asia,Retail,4,809.33,538.26
35,2025-03-26,Laptop,Electronics,North America,Wholesale,4,863.54,538.71
36,2023-04-14,Laptop,Electronics,North America,Wholesale,4,812.91,487.23
37,2025-07-02,Laptop,Electronics,Asia,Retail,4,768.86,498.56
38,2023-06-10,Laptop,Electronics,Asia,Wholesale,4,757.96,482.54
39,2024-10-01,Laptop,Electronics,Europe,Wholesale,1,806.81,500.88
40,2025-01-19,Bike,Sports,Europe,Wholesale,2,547.3,293.59
41,2023-08-14,Shoes,Clothing,North America,Retail,1,120.06,60.92
42,2025-03-26,Jacket,Clothing,North America,Online,3,202.88,105.37
43,2025-12-05,Blender,Home,North America,Retail,1,161.5,94.46
44,2023-10-29,Laptop,Electronics,Asia,Retail,1,811.57,548.03
45,2025-07-16,Blender,Home,Europe,Retail,3,143.05,89.74
46,2024-07-19,Phone,Electronics,Europe,Wholesale,2,651.6,319.93
47,2025-08-19,Bike,Sports,North America,Retail,3,501.83,322.64
48,2023-09-03,Laptop,Electronics,Europe,Wholesale,4,808.45,479.65
49,2025-07-09,Phone,Electronics,North America,Retail,4,649.59,350.79
50,2023-11-17,Jacket,Clothing,Asia,Wholesale,4,208.08,105.92
51,2025-04-13,Watch,Accessories,North America,Online,4,253.91,72.58
52,2023-05-30,Watch,Accessories,Europe,Online,2,268.02,76.0
53,2025-12-13,Watch,Accessories,North America,Retail,3,231.35,80.36
54,2025-02-12,Watch,Accessories,Asia,Wholesale,1,234.72,78.58
55,2024-10-17,Jacket,Clothing,Asia,Retail,1,218.78,104.29
56,2025-12-17,Watch,Accessories,Europe,Wholesale,3,237.54,74.95
57,2025-10-09,Watch,Accessories,Europe,Online,1,233.66,74.5
58,2024-07-13,Bike,Sports,North America,Wholesale,1,516.02,286.8
59,2024-08-03,Watch,Accessories,Europe,Wholesale,2,261.5,72.76
60,2024-11-27,Blender,Home,North America,Online,1,138.48,81.83
61,2025-08-15,Bike,Sports,Europe,Retail,4,467.53,271.03
62,2023-12-23,Watch,Accessories,Europe,Wholesale,3,227.4,87.19
63,2025-01-31,Phone,Electronics,North America,Retail,3,600.38,374.95
64,2025-11-05,Jacket,Clothing,Asia,Online,4,217.76,108.89
65,2024-01-15,Shoes,Clothing,North America,Wholesale,1,119.0,60.55
66,2025-12-02,Laptop,Electronics,Europe,Online,4,763.83,471.46
